high,medium,low,listing_id
0.0320867933333,0.656524896622,0.31138831377,7142618
0.112345710397,0.186710044742,0.700944185257,7210040
0.00519497832283,0.14333820343,0.85146677494,7103890
0.00664632953703,0.460930079222,0.532423615456,7143442
0.0262383893132,0.329836577177,0.643925011158,6860601
0.000222770802793,0.0334637723863,0.966313481331,6840081
0.0182374976575,0.310299009085,0.671463549137,6922337
0.0189905166626,0.407491624355,0.573517858982,6913616
0.0404263064265,0.417656213045,0.54191750288,6937820
0.0322339311242,0.546855926514,0.420910149813,6893933
0.0018133497797,0.0290461536497,0.969140529633,6832604
0.0411310009658,0.283101648092,0.675767362118,6915282
0.0276327524334,0.492665588856,0.479701697826,7127565
0.000331633433234,0.00916730891913,0.990501046181,6827899
0.000126545957755,0.0240057855844,0.975867629051,6934855
0.00272368197329,0.154114544392,0.843161761761,6861826
0.0238021779805,0.507175564766,0.46902230382,6871643
0.000323738553561,0.00824280176312,0.991433501244,6842542
0.00156295008492,0.018315859139,0.980121135712,6934145
0.108239404857,0.334946155548,0.556814432144,6829365
0.0144091434777,0.263885170221,0.721705675125,7167858
0.0026504539419,0.0727343633771,0.92461514473,6859483
0.0479992888868,0.105657227337,0.846343517303,6861377
0.0041592232883,0.0832525268197,0.912588238716,6848960
9.09633017727e-05,0.00580319250003,0.994105815887,6918850
0.181901723146,0.73540699482,0.0826912820339,6916867
0.00644398201257,0.111173167825,0.882382810116,6895840
0.247878372669,0.335053473711,0.417068123817,6813539
0.212841719389,0.41638302803,0.370775282383,7116900
0.00221689371392,0.0126477237791,0.985135376453,6890328
0.116117887199,0.0397344641387,0.844147622585,6879406
0.0455648005009,0.362689912319,0.591745316982,6824924
0.00471069198102,0.00448284624144,0.990806400776,6911302
0.082292124629,0.660071134567,0.257636755705,6918742
0.00482055870816,0.0356424599886,0.959536969662,6910586
0.0250968523324,0.113254636526,0.861648499966,6821750
0.0959895774722,0.649916768074,0.254093617201,6860647
0.0216883216053,0.811661541462,0.166650131345,6932873
0.00312210270204,0.0416360683739,0.955241799355,6846053
0.0732215791941,0.273279458284,0.653499007225,6940365
0.00192876218352,0.164075121284,0.833996117115,6931867
0.00105606694706,0.0242501273751,0.974693834782,6876383
0.0316959097981,0.264104038477,0.704200088978,6910980
0.0314039438963,0.224972307682,0.743623793125,6880877
0.18142478168,0.719732224941,0.098843023181,6839552
0.371637016535,0.329344660044,0.299018293619,6838051
0.522432982922,0.298704385757,0.178862631321,6928201
